configuration,true_pos,false_pos,false_neg,true_neg,precision,sensitivity,f1
dataset_000028-model_000004,102,175,87,184,0.36823104693140796,0.5396825396825397,0.43776824034334766
dataset_000029-model_000001,87,140,102,219,0.3832599118942731,0.4603174603174603,0.4182692307692307
dataset_000029-model_000002,97,193,92,166,0.33448275862068966,0.5132275132275133,0.40501043841336115
dataset_000029-model_000003,155,262,34,97,0.37170263788968827,0.8201058201058201,0.5115511551155115
dataset_000029-model_000004,104,164,85,195,0.3880597014925373,0.5502645502645502,0.45514223194748354
dataset_000030-model_000001,86,134,103,225,0.39090909090909093,0.455026455026455,0.42053789731051344
dataset_000030-model_000002,111,196,78,163,0.36156351791530944,0.5873015873015873,0.44758064516129026
dataset_000030-model_000003,140,235,49,124,0.37333333333333335,0.7407407407407407,0.49645390070921985
dataset_000030-model_000004,97,171,92,188,0.3619402985074627,0.5132275132275133,0.424507658643326
dataset_000031-model_000001,104,137,117,222,0.4315352697095436,0.47058823529411764,0.45021645021645024
dataset_000031-model_000002,114,183,107,176,0.3838383838383838,0.5158371040723982,0.4401544401544402
dataset_000031-model_000003,167,256,54,103,0.3947990543735225,0.755656108597285,0.5186335403726708
dataset_000031-model_000004,116,177,105,182,0.39590443686006827,0.5248868778280543,0.45136186770428016
dataset_000032-model_000001,94,130,127,229,0.41964285714285715,0.4253393665158371,0.42247191011235957
dataset_000032-model_000002,115,178,106,181,0.3924914675767918,0.5203619909502263,0.4474708171206226
dataset_000032-model_000003,167,251,54,108,0.39952153110047844,0.755656108597285,0.5226917057902972
dataset_000032-model_000004,127,183,94,176,0.4096774193548387,0.5746606334841629,0.47834274952919015
dataset_000033-model_000001,94,128,127,231,0.42342342342342343,0.4253393665158371,0.4243792325056434
dataset_000033-model_000002,128,186,93,173,0.40764331210191085,0.579185520361991,0.47850467289719634
dataset_000033-model_000003,177,279,44,80,0.3881578947368421,0.8009049773755657,0.5228951255539144
dataset_000033-model_000004,120,190,101,169,0.3870967741935484,0.5429864253393665,0.45197740112994345
dataset_000034-model_000001,92,150,129,209,0.38016528925619836,0.416289592760181,0.39740820734341253
dataset_000034-model_000002,118,178,103,181,0.39864864864864863,0.5339366515837104,0.45647969052224374
dataset_000034-model_000003,173,256,48,103,0.40326340326340326,0.7828054298642534,0.5323076923076923
dataset_000034-model_000004,118,164,103,195,0.41843971631205673,0.5339366515837104,0.46918489065606367
dataset_000035-model_000001,100,171,121,188,0.36900369003690037,0.45248868778280543,0.4065040650406504
dataset_000035-model_000002,131,191,90,168,0.40683229813664595,0.5927601809954751,0.48250460405156537
dataset_000035-model_000003,168,252,53,107,0.4,0.7601809954751131,0.5241809672386897
dataset_000035-model_000004,116,167,105,192,0.4098939929328622,0.5248868778280543,0.46031746031746035
dataset_000036-model_000001,95,120,126,239,0.4418604651162791,0.4298642533936652,0.4357798165137615
dataset_000036-model_000002,124,185,97,174,0.40129449838187703,0.5610859728506787,0.4679245283018868
dataset_000036-model_000003,178,243,43,116,0.42280285035629456,0.8054298642533937,0.5545171339563862
dataset_000036-model_000004,116,167,105,192,0.4098939929328622,0.5248868778280543,0.46031746031746035
dataset_000037-model_000001,98,130,123,229,0.4298245614035088,0.4434389140271493,0.4365256124721603
dataset_000037-model_000002,125,169,96,190,0.42517006802721086,0.5656108597285068,0.4854368932038835
dataset_000037-model_000003,171,258,50,101,0.3986013986013986,0.7737556561085973,0.5261538461538462
dataset_000037-model_000004,122,170,99,189,0.4178082191780822,0.5520361990950227,0.47563352826510724
dataset_000038-model_000001,101,130,120,229,0.43722943722943725,0.45701357466063347,0.44690265486725667
dataset_000038-model_000002,120,185,101,174,0.39344262295081966,0.5429864253393665,0.4562737642585551
dataset_000038-model_000003,178,252,43,107,0.413953488372093,0.8054298642533937,0.5468509984639016
dataset_000038-model_000004,122,174,99,185,0.41216216216216217,0.5520361990950227,0.4719535783365571
dataset_000039-model_000001,96,136,125,223,0.41379310344827586,0.4343891402714932,0.42384105960264906
dataset_000039-model_000002,116,183,105,176,0.3879598662207358,0.5248868778280543,0.4461538461538461
dataset_000039-model_000003,175,261,46,98,0.4013761467889908,0.7918552036199095,0.532724505327245
dataset_000039-model_000004,118,159,103,200,0.4259927797833935,0.5339366515837104,0.47389558232931733
dataset_000040-model_000001,99,138,122,221,0.4177215189873418,0.4479638009049774,0.43231441048034935
dataset_000040-model_000002,128,198,93,161,0.39263803680981596,0.579185520361991,0.4680073126142596
dataset_000040-model_000003,166,250,55,109,0.39903846153846156,0.751131221719457,0.521193092621664
dataset_000040-model_000004,122,171,99,188,0.41638225255972694,0.5520361990950227,0.47470817120622566
dataset_000041-model_000001,133,95,182,130,0.5833333333333334,0.4222222222222222,0.4898710865561695
dataset_000041-model_000002,186,127,129,98,0.5942492012779552,0.5904761904761905,0.5923566878980892
dataset_000041-model_000003,243,154,72,71,0.6120906801007556,0.7714285714285715,0.6825842696629214
dataset_000041-model_000004,172,110,143,115,0.6099290780141844,0.546031746031746,0.5762144053601339
dataset_000042-model_000001,135,94,180,131,0.5895196506550219,0.42857142857142855,0.4963235294117647
dataset_000042-model_000002,193,127,122,98,0.603125,0.6126984126984127,0.6078740157480316
dataset_000042-model_000003,240,166,75,59,0.5911330049261084,0.7619047619047619,0.665742024965326
dataset_000042-model_000004,172,126,143,99,0.5771812080536913,0.546031746031746,0.5611745513866231
dataset_000043-model_000001,137,73,178,152,0.6523809523809524,0.43492063492063493,0.5219047619047619
dataset_000043-model_000002,189,137,126,88,0.5797546012269938,0.6,0.5897035881435256
dataset_000043-model_000003,244,152,71,73,0.6161616161616161,0.7746031746031746,0.6863572433192686
dataset_000043-model_000004,172,108,143,117,0.6142857142857143,0.546031746031746,0.5781512605042017
dataset_000044-model_000001,135,90,180,135,0.6,0.42857142857142855,0.5
dataset_000044-model_000002,184,110,131,115,0.6258503401360545,0.5841269841269842,0.6042692939244665
dataset_000044-model_000003,248,155,67,70,0.6153846153846154,0.7873015873015873,0.6908077994428969
dataset_000044-model_000004,171,97,144,128,0.6380597014925373,0.5428571428571428,0.5866209262435677
dataset_000045-model_000001,140,100,175,125,0.5833333333333334,0.4444444444444444,0.5045045045045046
dataset_000045-model_000002,187,121,128,104,0.6071428571428571,0.5936507936507937,0.6003210272873194
dataset_000045-model_000003,254,146,61,79,0.635,0.8063492063492064,0.7104895104895105
dataset_000045-model_000004,178,115,137,110,0.6075085324232082,0.5650793650793651,0.5855263157894737
dataset_000046-model_000001,141,76,174,149,0.6497695852534562,0.44761904761904764,0.5300751879699248
dataset_000046-model_000002,170,111,145,114,0.604982206405694,0.5396825396825397,0.5704697986577182
